title,originalTitle,year,rating,votes_orig,votes,genres/0,genres/1,genres/2,genres/3,genres/4,genres/5,genres/6,genres/7,ProductionBudget_orig,DomesticGross_orig,WorldwideGross_orig,DomesticGross,WorldwideGross,domesticProfit,worldwideProfit,totalProfit
Scarface,,1983,"8,3","546,48",546479,Crime,Drama,,,,,,,25000000,44942821,44942821,44942821,44942821,19942821,19942821,39885642
Superman III,,1983,"4,9","50,77",50773,Action,Comedy,Sci-Fi,,,,,,39000000,59950623,59950623,59950623,59950623,20950623,20950623,41901246
The Dead Zone,,1983,"7,2","45,53",45533,Horror,Sci-Fi,Thriller,,,,,,10000000,20766000,20766000,20766000,20766000,10766000,10766000,21532000
The Outsiders,,1983,"7,2","58,13",58125,Crime,Drama,,,,,,,10000000,25697647,25697647,25697647,25697647,15697647,15697647,31395294
The Right Stuff,,1983,"7,9","45,76",45756,Adventure,Drama,History,,,,,,27000000,21500000,21500000,21500000,21500000,-5500000,-5500000,-11000000
Twilight Zone: The Movie,,1983,"6,5","26,00",26003,Fantasy,Horror,Sci-Fi,,,,,,10000000,29500000,29500000,29500000,29500000,19500000,19500000,39000000
VidÃ©odrome,Videodrome,1983,"7,3","61,65",61653,Horror,Mystery,Sci-Fi,Thriller,,,,,5952000,2120439,2120439,2120439,2120439,-3831561,-3831561,-7663122
WarGames,,1983,"7,1","72,65",72651,Sci-Fi,Thriller,,,,,,,12000000,74433837,74433837,74433837,74433837,62433837,62433837,124867674
Yentl,,1983,"6,6","9,60",9599,Drama,Musical,Romance,,,,,,12000000,39012241,39012241,39012241,39012241,27012241,27012241,54024482
A Nightmare on Elm Street 2: Freddy's Revenge,A Nightmare on Elm Street Part 2: Freddy's Revenge,1985,"5,4","44,31",44314,Fantasy,Horror,,,,,,,3000000,21163999,21163999,21163999,21163999,18163999,18163999,36327998
A Room with a View,,1985,"7,4","30,01",30007,Drama,Romance,,,,,,,3000000,20966644,20966644,20966644,20966644,17966644,17966644,35933288
A View to a Kill,,1985,"6,3","69,38",69376,Action,Adventure,Thriller,,,,,,30000000,50327960,152627960,50327960,152627960,20327960,72300000,92627960
Back to the Future,,1985,"8,5","745,93",745929,Adventure,Comedy,Sci-Fi,,,,,,19000000,212259762,385524862,212259762,385524862,193259762,154265100,347524862
Brazil,,1985,8,"153,98",153977,Drama,Sci-Fi,,,,,,,15000000,9929135,9929135,9929135,9929135,-5070865,-5070865,-10141730
Commando,,1985,"6,7","113,36",113358,Action,Adventure,Thriller,,,,,,10000000,35073978,35073978,35073978,35073978,25073978,25073978,50147956
Day of the Dead,,1985,"7,2","50,34",50338,Horror,,,,,,,,3500000,5804262,34004262,5804262,34004262,2304262,24700000,27004262
Kalidor - la lÃ©gende du talisman,Red Sonja,1985,5,"30,58",30580,Action,Adventure,Fantasy,,,,,,17900000,6905861,6905861,6905861,6905861,-10994139,-10994139,-21988278
Ladyhawke,,1985,7,"34,00",33999,Adventure,Comedy,Drama,Fantasy,,,,,20000000,18400000,18400000,18400000,18400000,-1600000,-1600000,-3200000
Legend,,1985,"6,5","46,43",46426,Adventure,Fantasy,Romance,,,,,,25000000,15502112,23506237,15502112,23506237,-9497888,-16995875,-26493763
Lifeforce,,1985,"6,1","15,80",15800,Action,Horror,Mystery,Romance,Sci-Fi,Thriller,,,25000000,11603545,11603545,11603545,11603545,-13396455,-13396455,-26792910
Mad Max Beyond Thunderdome,,1985,"6,2","103,24",103244,Action,Adventure,Sci-Fi,,,,,,10000000,36230219,36230219,36230219,36230219,26230219,26230219,52460438
Out of Africa,,1985,"7,2","53,19",53185,Biography,Drama,Romance,,,,,,31000000,79096868,258210860,79096868,258210860,48096868,148113992,196210860
Pale Rider,,1985,"7,3","40,09",40086,Western,,,,,,,,6900000,41410568,41410568,41410568,41410568,34510568,34510568,69021136
Rambo: First Blood Part II,,1985,"6,4","119,13",119125,Action,Adventure,Thriller,War,,,,,44000000,150415432,300400000,150415432,300400000,106415432,105984568,212400000
Return to Oz,,1985,"6,7","19,76",19764,Adventure,Family,Fantasy,Horror,Mystery,,,,27000000,10618813,10618813,10618813,10618813,-16381187,-16381187,-32762374
Silver Bullet,,1985,"6,3","16,84",16840,Horror,,,,,,,,7000000,10803211,10803211,10803211,10803211,3803211,3803211,7606422
Silverado,,1985,"7,2","28,61",28612,Action,Crime,Drama,Romance,Western,,,,26000000,33200000,33200000,33200000,33200000,7200000,7200000,14400000
The Color Purple,,1985,"7,8","61,80",61799,Drama,,,,,,,,15000000,93589701,93589701,93589701,93589701,78589701,78589701,157179402
The Last Dragon,,1985,"6,9","9,55",9545,Action,Comedy,Drama,Music,,,,,10000000,33000000,33000000,33000000,33000000,23000000,23000000,46000000
The Return of the Living Dead,,1985,"7,3","40,59",40594,Comedy,Horror,Sci-Fi,,,,,,4000000,14237880,14237880,14237880,14237880,10237880,10237880,20475760
Witness,,1985,"7,4","67,73",67726,Crime,Drama,Romance,Thriller,,,,,12000000,65532576,65532576,65532576,65532576,53532576,53532576,107065152
Young Sherlock Holmes,,1985,"6,8","15,04",15035,Adventure,Fantasy,Mystery,Thriller,,,,,18000000,19739000,19739000,19739000,19739000,1739000,1739000,3478000
A Nightmare on Elm Street,,1984,"7,5","152,01",152008,Horror,,,,,,,,1800000,25504513,25504513,25504513,25504513,23704513,23704513,47409026
A Passage to India,,1984,"7,4","13,13",13128,Adventure,Drama,History,,,,,,27500000,27187653,27187653,27187653,27187653,-312347,-312347,-624694
Amadeus,,1984,"8,3","275,20",275203,Biography,Drama,History,Music,,,,,18000000,51973029,51973029,51973029,51973029,33973029,33973029,67946058
Beverly Hills Cop,,1984,"7,3","128,36",128355,Action,Comedy,Crime,,,,,,15000000,234760478,316300000,234760478,316300000,219760478,66539522,286300000
Body Double,,1984,"6,8","20,59",20587,Mystery,Thriller,,,,,,,10000000,8801940,8801940,8801940,8801940,-1198060,-1198060,-2396120
C.H.U.D.,,1984,"5,5","7,66",7660,Horror,Sci-Fi,,,,,,,1250000,4700000,4700000,4700000,4700000,3450000,3450000,6900000
Conan the Destroyer,,1984,"5,8","62,65",62647,Action,Adventure,Fantasy,,,,,,18000000,26400000,26400000,26400000,26400000,8400000,8400000,16800000
Dune,,1984,"6,6","98,03",98029,Action,Adventure,Sci-Fi,,,,,,45000000,27447471,27447471,27447471,27447471,-17552529,-17552529,-35105058
Firestarter,,1984,6,"23,05",23053,Action,Horror,Sci-Fi,Thriller,,,,,15000000,15136870,15136870,15136870,15136870,136870,136870,273740
Footloose,,1984,"6,5","52,48",52481,Drama,Music,Romance,,,,,,8200000,80000000,80000000,80000000,80000000,71800000,71800000,143600000
Ghostbusters,,1984,"7,8","276,35",276351,Action,Adventure,Comedy,Fantasy,,,,,30000000,242212467,295212467,242212467,295212467,212212467,23000000,235212467
Gremlins,,1984,"7,2","144,85",144854,Comedy,Fantasy,Horror,,,,,,11000000,148168459,148168459,148168459,148168459,137168459,137168459,274336918
Il Ã©tait une fois en AmÃ©rique,Once Upon a Time in America,1984,"8,4","224,88",224879,Crime,Drama,,,,,,,30000000,5321508,5321508,5321508,5321508,-24678492,-24678492,-49356984
Indiana Jones and the Temple of Doom,,1984,"7,6","335,34",335340,Action,Adventure,,,,,,,28000000,179880271,333080271,179880271,333080271,151880271,125200000,277080271
Police Academy,,1984,"6,7","88,89",88890,Comedy,,,,,,,,4500000,81198894,81198894,81198894,81198894,76698894,76698894,153397788
Repo Man,,1984,"6,9","25,67",25674,Comedy,Crime,Sci-Fi,Thriller,,,,,1500000,2300000,2300000,2300000,2300000,800000,800000,1600000
Sheena,,1984,"4,8","3,38",3384,Adventure,Fantasy,,,,,,,25000000,5778353,5778353,5778353,5778353,-19221647,-19221647,-38443294
Splash,,1984,"6,2","55,41",55411,Comedy,Fantasy,Romance,,,,,,8000000,62599495,62599495,62599495,62599495,54599495,54599495,109198990
Star Trek III: The Search for Spock,,1984,"6,6","59,76",59756,Action,Adventure,Sci-Fi,,,,,,18000000,76471046,87000000,76471046,87000000,58471046,-7471046,51000000
The Cotton Club,,1984,"6,5","12,90",12898,Crime,Drama,Music,,,,,,48000000,25928721,25928721,25928721,25928721,-22071279,-22071279,-44142558
The Ice Pirates,,1984,"5,7","7,86",7860,Action,Adventure,Comedy,Romance,Sci-Fi,,,,9000000,13075390,13075390,13075390,13075390,4075390,4075390,8150780
The Karate Kid,,1984,"7,2","129,49",129489,Action,Drama,Family,Sport,,,,,8000000,90815558,90815558,90815558,90815558,82815558,82815558,165631116
The NeverEnding Story,Die unendliche Geschichte,1984,"7,4","101,15",101147,Adventure,Drama,Family,Fantasy,,,,,27000000,21300000,21300000,21300000,21300000,-5700000,-5700000,-11400000
The Terminator,,1984,8,"610,14",610144,Action,Sci-Fi,,,,,,,6400000,38019031,78019031,38019031,78019031,31619031,33600000,65219031
The Toxic Avenger,,1984,"6,2","19,54",19536,Action,Comedy,Horror,Sci-Fi,,,,,475000,0,0,950000,950000,475000,475000,950000
9Â½ Weeks,Nine 1/2 Weeks,1986,"5,9","29,97",29968,Drama,Romance,,,,,,,18000000,6734844,6734844,6734844,6734844,-11265156,-11265156,-22530312
Aliens,,1986,"8,4","495,62",495617,Action,Adventure,Sci-Fi,Thriller,,,,,17000000,85160248,183316455,85160248,183316455,68160248,81156207,149316455
April Fool's Day,,1986,"6,2","10,78",10783,Horror,Mystery,,,,,,,5000000,12947763,12947763,12947763,12947763,7947763,7947763,15895526
Big Trouble in Little China,,1986,"7,3","94,08",94078,Action,Adventure,Comedy,Fantasy,,,,,25000000,11100000,11100000,11100000,11100000,-13900000,-13900000,-27800000
Crocodile Dundee,,1986,"6,5","75,66",75657,Adventure,Comedy,,,,,,,8800000,174803506,328203506,174803506,328203506,166003506,144600000,310603506
Highlander,,1986,"7,2","99,78",99778,Action,Adventure,Fantasy,,,,,,16000000,5900000,12900000,5900000,12900000,-10100000,-9000000,-19100000
Howard the Duck,,1986,"4,6","34,05",34053,Action,Adventure,Comedy,Romance,Sci-Fi,,,,30000000,16295774,16295774,16295774,16295774,-13704226,-13704226,-27408452
Little Shop of Horrors,,1986,"6,9","50,05",50054,Comedy,Horror,Musical,Sci-Fi,,,,,30000000,38747385,38747385,38747385,38747385,8747385,8747385,17494770
Peggy Sue Got Married,,1986,"6,3","27,40",27400,Comedy,Drama,Fantasy,Romance,,,,,18000000,41382841,41382841,41382841,41382841,23382841,23382841,46765682
Platoon,,1986,"8,1","295,83",295830,Drama,War,,,,,,,6000000,137963328,137963328,137963328,137963328,131963328,131963328,263926656
River's Edge,,1986,"7,1","11,93",11933,Crime,Drama,,,,,,,1900000,4600000,4600000,4600000,4600000,2700000,2700000,5400000
Stand by Me,,1986,"8,1","276,93",276931,Adventure,Drama,,,,,,,8000000,52287414,52287414,52287414,52287414,44287414,44287414,88574828
Star Trek IV: The Voyage Home,,1986,"7,3","62,77",62765,Adventure,Comedy,Sci-Fi,,,,,,24000000,109713132,133000000,109713132,133000000,85713132,-713132,85000000
The Color of Money,,1986,7,"58,54",58539,Drama,Sport,,,,,,,10000000,52293000,52293000,52293000,52293000,42293000,42293000,84586000
The Golden Child,,1986,"5,9","40,44",40442,Action,Adventure,Comedy,Fantasy,Mystery,,,,12000000,79817937,79817937,79817937,79817937,67817937,67817937,135635874
The Texas Chainsaw Massacre 2,,1986,"5,5","19,58",19581,Comedy,Horror,,,,,,,4700000,8025872,8025872,8025872,8025872,3325872,3325872,6651744
Top Gun,,1986,"6,9","221,97",221968,Action,Drama,Romance,,,,,,15000000,179800601,356800601,179800601,356800601,164800601,162000000,326800601
3 Men and a Baby,,1987,"5,9","37,37",37369,Comedy,Drama,Family,,,,,,15000000,167780960,167780960,167780960,167780960,152780960,152780960,305561920
A Nightmare on Elm Street 3: Dream Warriors,,1987,"6,6","50,73",50734,Action,Fantasy,Horror,Thriller,,,,,5000000,44793222,44793222,44793222,44793222,39793222,39793222,79586444
Beverly Hills Cop II,,1987,"6,4","85,95",85951,Action,Comedy,Crime,Thriller,,,,,20000000,153665036,276665036,153665036,276665036,133665036,103000000,236665036
Creepshow 2,,1987,6,"16,25",16245,Comedy,Fantasy,Horror,Thriller,,,,,3500000,14000000,14000000,14000000,14000000,10500000,10500000,21000000
Cry Freedom,,1987,"7,5","10,02",10015,Biography,Drama,History,,,,,,29000000,5899797,25899797,5899797,25899797,-23100203,-9000000,-32100203
Evil Dead II,,1987,"7,8","115,50",115500,Comedy,Fantasy,Horror,Thriller,,,,,3500000,5923044,5923044,5923044,5923044,2423044,2423044,4846088
Fatal Attraction,,1987,"6,9","56,03",56030,Drama,Horror,Thriller,,,,,,14000000,156645693,320100000,156645693,320100000,142645693,149454307,292100000
Hellraiser,,1987,7,"77,81",77806,Fantasy,Horror,,,,,,,1000000,14564000,14564000,14564000,14564000,13564000,13564000,27128000
Ishtar,,1987,"4,2","8,76",8759,Action,Adventure,Comedy,Music,Thriller,,,,40000000,14375181,14375181,14375181,14375181,-25624819,-25624819,-51249638
La Bamba,,1987,"6,8","21,65",21646,Biography,Drama,Music,,,,,,6500000,54215416,54215416,54215416,54215416,47715416,47715416,95430832
Le dernier empereur,The Last Emperor,1987,"7,8","71,23",71227,Biography,Drama,History,,,,,,25000000,43984000,43987901,43984000,43987901,18984000,-24996099,-6012099
Lethal Weapon,,1987,"7,6","193,36",193356,Action,Crime,Thriller,,,,,,15000000,65192350,120192350,65192350,120192350,50192350,40000000,90192350
Maurice,,1987,"7,8","10,88",10881,Drama,Romance,,,,,,,2600000,3130592,3130592,3130592,3130592,530592,530592,1061184
Predator,,1987,"7,8","294,48",294479,Action,Horror,Sci-Fi,Thriller,,,,,18000000,59735548,98267558,59735548,98267558,41735548,20532010,62267558
Radio Days,,1987,"7,6","24,69",24690,Comedy,,,,,,,,16000000,14792779,14792779,14792779,14792779,-1207221,-1207221,-2414442
RoboCop,,1987,"7,5","183,38",183377,Action,Crime,Sci-Fi,Thriller,,,,,13000000,53424681,53424681,53424681,53424681,40424681,40424681,80849362
Spaceballs,,1987,"7,1","138,42",138420,Adventure,Comedy,Sci-Fi,,,,,,22700000,38119483,38119483,38119483,38119483,15419483,15419483,30838966
Superman IV: The Quest for Peace,,1987,"3,6","33,96",33958,Action,Adventure,Family,Sci-Fi,,,,,17000000,11227824,11227824,11227824,11227824,-5772176,-5772176,-11544352
Teen Wolf Too,,1987,"3,2","8,53",8526,Comedy,Fantasy,,,,,,,3000000,7888000,7888000,7888000,7888000,4888000,4888000,9776000
The Living Daylights,,1987,"6,7","70,24",70243,Action,Adventure,Thriller,,,,,,40000000,51185000,191200000,51185000,191200000,11185000,100015000,111200000
The Lost Boys,,1987,"7,2","94,40",94397,Comedy,Fantasy,Horror,,,,,,8500000,32222567,32222567,32222567,32222567,23722567,23722567,47445134
The Princess Bride,,1987,"8,1","298,65",298645,Adventure,Family,Fantasy,Romance,,,,,15000000,30857000,30857000,30857000,30857000,15857000,15857000,31714000
The Running Man,,1987,"6,6","113,99",113987,Action,Crime,Sci-Fi,Thriller,,,,,30000000,38122000,38122000,38122000,38122000,8122000,8122000,16244000
The Untouchables,,1987,"7,9","221,66",221655,Crime,Drama,Thriller,,,,,,25000000,76270454,76270454,76270454,76270454,51270454,51270454,102540908
Wall Street,,1987,"7,4","120,35",120349,Crime,Drama,,,,,,,16500000,43848100,43848100,43848100,43848100,27348100,27348100,54696200
A Nightmare on Elm Street 4: The Dream Master,,1988,"5,7","36,77",36767,Fantasy,Horror,Thriller,,,,,,13000000,49369899,49369899,49369899,49369899,36369899,36369899,72739798
Big,,1988,"7,3","155,36",155357,Comedy,Drama,Family,Fantasy,Romance,,,,18000000,114968774,151668774,114968774,151668774,96968774,18700000,115668774
